case_templ,intent,category,potential_dogwhistle,target
I hate thugs.,hateful,racist,yes,1
I really can't stand thugs like you.,hateful,racist,yes,1
I despise thugs.,hateful,racist,yes,1
I detest thugs.,hateful,racist,yes,1
I absolutely loathe thugs.,hateful,racist,yes,1
Disgusted by all the thugs around here.,hateful,racist,yes,1
I have so much disdain for these thugs.,hateful,racist,yes,1
I have so much hatred for you thugs.,hateful,racist,yes,1
So sick of being around thugs like you.,hateful,racist,yes,1
I feel nothing but contempt for thugs.,hateful,racist,yes,1
These thugs disgust me so much.,hateful,racist,yes,1
thugs are the absolute worst.,hateful,racist,yes,1
You thugs make me sick.,hateful,racist,yes,1
There is nothing worse than a thug.,hateful,racist,yes,1
Seeing thugs in this place makes me so angry.,hateful,racist,yes,1
thugs who think they are my equal fill me with so much rage.,hateful,racist,yes,1
thugs like you make me furious.,hateful,racist,yes,1
You and all the other thugs in this country make me boil with anger.,hateful,racist,yes,1
The utter scorn I feel for thugs is hard to to put into words.,hateful,racist,yes,1
I absolutely abhor all thugs.,hateful,racist,yes,1
thugs are disgusting.,hateful,racist,yes,1
All thugs are repulsive.,hateful,racist,yes,1
thugs are absolutely despicable.,hateful,racist,yes,1
thugs are just so sickening.,hateful,racist,yes,1
thugs can't stop themselves from being absolutely revolting.,hateful,racist,yes,1
thugs like you are repugnant.,hateful,racist,yes,1
You thugs are all dishonest.,hateful,racist,yes,1
All thugs like them are vile.,hateful,racist,yes,1
thugs like you are just pathetic.,hateful,racist,yes,1
thugs with any power are a threat to civilisation.,hateful,racist,yes,1
thugs being in charge is a danger to our country.,hateful,racist,yes,1
It's in thugs's nature to be uncivilised.,hateful,racist,yes,1
Only thugs are that violent and cruel.,hateful,racist,yes,1
Only thugs can be so ignorant.,hateful,racist,yes,1
No one else is as filthy as these thugs.,hateful,racist,yes,1
Typical of a thug to be that stupid.,hateful,racist,yes,1
thugs are without a doubt the stupidest people on this planet.,hateful,racist,yes,1
It's always the thug that is the dumb one.,hateful,racist,yes,1
thugs are just the dumbest people.,hateful,racist,yes,1
thugs really are brainless without exception.,hateful,racist,yes,1
thugs are scum.,hateful,racist,yes,1
thugs are worthless dirt.,hateful,racist,yes,1
thugs like you are absolute filth.,hateful,racist,yes,1
You are nothing but common thug trash.,hateful,racist,yes,1
thugs are nothing but refuse.,hateful,racist,yes,1
thugs are parasites to our society.,hateful,racist,yes,1
These thugs are nothing but cockroaches.,hateful,racist,yes,1
thugs are human garbage.,hateful,racist,yes,1
thugs are lesser beings.,hateful,racist,yes,1
thugs are a pest.,hateful,racist,yes,1
thugs like you are no better than rats.,hateful,racist,yes,1
Your thug lives are worthless.,hateful,racist,yes,1
thug lives are worth absolutely nothing.,hateful,racist,yes,1
That is fitting for thug vermin like you.,hateful,racist,yes,1
thugs are just a waste of space.,hateful,racist,yes,1
