case_templ,intent,category,potential_dogwhistle,target,case_templ_token,case_templ_no_stopwords,case_templ_clean,lemmatized
I hate thugs.,hateful,racist,yes,1,"['I', 'hate', 'thugs', '.']","['hate', 'thugs', '.']","['I', 'hate', 'thugs']","['I', 'hate', 'thug']"
I really can't stand thugs like you.,hateful,racist,yes,1,"['I', 'really', ""can't"", 'stand', 'thugs', 'like', 'you', '.']","['really', ""can't"", 'stand', 'thugs', 'like', '.']","['I', 'really', ""can't"", 'stand', 'thugs', 'like', 'you']","['I', 'really', ""can't"", 'stand', 'thug', 'like', 'you']"
I despise thugs.,hateful,racist,yes,1,"['I', 'despise', 'thugs', '.']","['despise', 'thugs', '.']","['I', 'despise', 'thugs']","['I', 'despise', 'thug']"
I detest thugs.,hateful,racist,yes,1,"['I', 'detest', 'thugs', '.']","['detest', 'thugs', '.']","['I', 'detest', 'thugs']","['I', 'detest', 'thug']"
I absolutely loathe thugs.,hateful,racist,yes,1,"['I', 'absolutely', 'loathe', 'thugs', '.']","['absolutely', 'loathe', 'thugs', '.']","['I', 'absolutely', 'loathe', 'thugs']","['I', 'absolutely', 'loathe', 'thug']"
Disgusted by all the thugs around here.,hateful,racist,yes,1,"['Disgusted', 'by', 'all', 'the', 'thugs', 'around', 'here', '.']","['Disgusted', 'thugs', 'around', '.']","['Disgusted', 'by', 'all', 'the', 'thugs', 'around', 'here']","['Disgusted', 'by', 'all', 'the', 'thug', 'around', 'here']"
I have so much disdain for these thugs.,hateful,racist,yes,1,"['I', 'have', 'so', 'much', 'disdain', 'for', 'these', 'thugs', '.']","['much', 'disdain', 'thugs', '.']","['I', 'have', 'so', 'much', 'disdain', 'for', 'these', 'thugs']","['I', 'have', 'so', 'much', 'disdain', 'for', 'these', 'thug']"
I have so much hatred for you thugs.,hateful,racist,yes,1,"['I', 'have', 'so', 'much', 'hatred', 'for', 'you', 'thugs', '.']","['much', 'hatred', 'thugs', '.']","['I', 'have', 'so', 'much', 'hatred', 'for', 'you', 'thugs']","['I', 'have', 'so', 'much', 'hatred', 'for', 'you', 'thug']"
So sick of being around thugs like you.,hateful,racist,yes,1,"['So', 'sick', 'of', 'being', 'around', 'thugs', 'like', 'you', '.']","['sick', 'around', 'thugs', 'like', '.']","['So', 'sick', 'of', 'being', 'around', 'thugs', 'like', 'you']","['So', 'sick', 'of', 'being', 'around', 'thug', 'like', 'you']"
I feel nothing but contempt for thugs.,hateful,racist,yes,1,"['I', 'feel', 'nothing', 'but', 'contempt', 'for', 'thugs', '.']","['feel', 'nothing', 'contempt', 'thugs', '.']","['I', 'feel', 'nothing', 'but', 'contempt', 'for', 'thugs']","['I', 'feel', 'nothing', 'but', 'contempt', 'for', 'thug']"
These thugs disgust me so much.,hateful,racist,yes,1,"['These', 'thugs', 'disgust', 'me', 'so', 'much', '.']","['thugs', 'disgust', 'much', '.']","['These', 'thugs', 'disgust', 'me', 'so', 'much']","['These', 'thug', 'disgust', 'me', 'so', 'much']"
thugs are the absolute worst.,hateful,racist,yes,1,"['thugs', 'are', 'the', 'absolute', 'worst', '.']","['thugs', 'absolute', 'worst', '.']","['thugs', 'are', 'the', 'absolute', 'worst']","['thug', 'are', 'the', 'absolute', 'worst']"
You thugs make me sick.,hateful,racist,yes,1,"['You', 'thugs', 'make', 'me', 'sick', '.']","['thugs', 'make', 'sick', '.']","['You', 'thugs', 'make', 'me', 'sick']","['You', 'thug', 'make', 'me', 'sick']"
There is nothing worse than a thug.,hateful,racist,yes,1,"['There', 'is', 'nothing', 'worse', 'than', 'a', 'thug', '.']","['nothing', 'worse', 'thug', '.']","['There', 'is', 'nothing', 'worse', 'than', 'a', 'thug']","['There', 'is', 'nothing', 'worse', 'than', 'a', 'thug']"
Seeing thugs in this place makes me so angry.,hateful,racist,yes,1,"['Seeing', 'thugs', 'in', 'this', 'place', 'makes', 'me', 'so', 'angry', '.']","['Seeing', 'thugs', 'place', 'makes', 'angry', '.']","['Seeing', 'thugs', 'in', 'this', 'place', 'makes', 'me', 'so', 'angry']","['Seeing', 'thug', 'in', 'this', 'place', 'make', 'me', 'so', 'angry']"
