lemmatized,target
"['hate', 'thug']",1
"['really', ""can't"", 'stand', 'thug', 'like']",1
"['despise', 'thug']",1
"['detest', 'thug']",1
"['absolutely', 'loathe', 'thug']",1
"['Disgusted', 'thug', 'around']",1
"['much', 'disdain', 'thug']",1
"['much', 'hatred', 'thug']",1
"['sick', 'around', 'thug', 'like']",1
"['feel', 'nothing', 'contempt', 'thug']",1
"['thug', 'disgust', 'much']",1
"['thug', 'absolute', 'worst']",1
"['thug', 'make', 'sick']",1
"['nothing', 'worse', 'thug']",1
"['Seeing', 'thug', 'place', 'make', 'angry']",1
"['thug', 'think', 'equal', 'fill', 'much', 'rage']",1
"['thug', 'like', 'make', 'furious']",1
"['thug', 'country', 'make', 'boil', 'anger']",1
"['utter', 'scorn', 'feel', 'thug', 'hard', 'put', 'word']",1
"['absolutely', 'abhor', 'thug']",1
"['thug', 'disgusting']",1
"['thug', 'repulsive']",1
"['thug', 'absolutely', 'despicable']",1
"['thug', 'sickening']",1
"['thug', ""can't"", 'stop', 'absolutely', 'revolting']",1
"['thug', 'like', 'repugnant']",1
"['thug', 'dishonest']",1
"['thug', 'like', 'vile']",1
"['thug', 'like', 'pathetic']",1
"['thug', 'power', 'threat', 'civilisation']",1
"['thug', 'charge', 'danger', 'country']",1
"[""thugs's"", 'nature', 'uncivilised']",1
"['thug', 'violent', 'cruel']",1
"['thug', 'ignorant']",1
"['one', 'else', 'filthy', 'thug']",1
"['Typical', 'thug', 'stupid']",1
"['thug', 'without', 'doubt', 'stupidest', 'people', 'planet']",1
"['always', 'thug', 'dumb', 'one']",1
"['thug', 'dumbest', 'people']",1
"['thug', 'really', 'brainless', 'without', 'exception']",1
"['thug', 'scum']",1
"['thug', 'worthless', 'dirt']",1
"['thug', 'like', 'absolute', 'filth']",1
"['nothing', 'common', 'thug', 'trash']",1
"['thug', 'nothing', 'refuse']",1
"['thug', 'parasite', 'society']",1
"['thug', 'nothing', 'cockroach']",1
"['thug', 'human', 'garbage']",1
"['thug', 'lesser', 'being']",1
"['thug', 'pest']",1
"['thug', 'like', 'better', 'rat']",1
"['thug', 'life', 'worthless']",1
"['thug', 'life', 'worth', 'absolutely', 'nothing']",1
"['fitting', 'thug', 'vermin', 'like']",1
"['thug', 'waste', 'space']",1
"['thug', 'virus']",1
"['thug', 'cancer']",1
"['thug', 'plague', 'society']",1
"['thug', 'subhuman', 'creature']",1
"['Swarms', 'thug', 'infesting', 'government']",1
"['thug', 'belong', 'zoo']",1
"['thug', 'sick', 'taken', 'vet', 'doctor']",1
"['dog', 'smarter', 'thug', 'could', 'ever']",1
"['monkey', 'intelligent', 'thug', 'combined']",1
"['thug', 'dumped', 'landfill']",1
"['would', 'never', 'eat', 'food', 'touched', 'thug']",1
"['care', 'dirt', 'shoe', 'thug']",1
"['life', 'insect', 'valuable', 'thug']",1
"['test', 'new', 'drug', 'thug', 'testing', 'animal']",1
"['see', 'difference', 'dead', 'rat', 'dead', 'thug']",1
"['baffle', 'people', 'care', 'even', 'slightest', 'life', 'thug']",1
"['thug', 'locked', 'cage']",1
"['Putting', 'thug', 'charge', 'biggest', 'mistake', 'anyone', 'make']",1
"['Allowing', 'thug', 'government', 'ruin', 'country']",1
"['Never', 'trust', 'single', 'word', 'said', 'thug']",1
"['would', 'rather', 'die', 'date', 'thug']",1
"[""I'd"", 'rather', 'cancer', 'anywhere', 'near', 'thug']",1
"['woke', 'thug', 'would', 'kill']",1
"['nothing', 'world', 'like', 'le', 'thug']",1
"['thug', 'place', 'civilised', 'country', 'like']",1
"['want', 'kill', 'thug']",1
"['want', 'end', 'every', ""thug's"", 'life']",1
"['really', 'going', 'murder', 'thug']",1
"['going', 'shoot', 'next', 'thug', 'see']",1
"['going', 'make', 'thug', 'suffer']",1
"[""I'm"", 'going', 'stab', 'thug', 'tomorrow']",1
"[""I'll"", 'rape', 'thug', 'today']",1
"['hurt', 'thug', 'like']",1
"['cut', 'thug', 'throat']",1
"[""I'll"", 'snap', 'thug', 'neck']",1
"['keep', 'attacking', 'thug', 'gone']",1
"[""We'll"", 'torture', 'thug', 'without', 'mercy']",1
"['going', 'put', 'end', 'thug']",1
"[""Let's"", 'get', 'rid', 'thug']",1
"[""Let's"", 'eradicate', 'thug']",1
"['Execution', 'solution', 'thug']",1
"['Death', 'thug']",1
"[""I'll"", 'slaughter', 'thug', 'like']",1
"['thug', 'die', 'horrible', 'death', 'hand']",1
"['thug', 'killed']",1
"['thug', 'like', 'deserve', 'die']",1
"['would', 'love', 'see', 'thug', 'suffer']",1
"['wish', 'thug', 'would', 'shot', 'street']",1
"['get', 'rid', 'thug']",1
"['hang', 'thug']",1
"['would', 'better', 'thug', 'eradicated']",1
"['thug', 'like', 'throat', 'cut']",1
"['would', 'best', 'drown', 'kind', 'thug']",1
"['Raping', 'thug', 'like', 'illegal']",1
"['Murdering', 'thug', 'like', 'decriminalised']",1
"['kind', 'thug', 'ought', 'executed']",1
"['someone', 'would', 'strangle', 'thug']",1
"['world', 'thug', 'like', 'would', 'dead']",1
"['world', 'would', 'better', 'without', 'thug', 'like']",1
"['One', 'hope', 'someone', 'put', 'end', 'thug']",1
"[""everybody's"", 'interest', 'slaughter', 'thug']",1
"['Somebody', 'stab', 'thug']",1
"['Someone', 'snap', 'neck', 'thug']",1
"['thug', 'burned', 'stake']",1
"['fucking', 'thug']",1
"['Fuck', 'thug']",1
"['thug', 'fuck', 'forever']",1
"['thug', 'get', 'fuck', 'country']",1
"['thug', 'go', 'fuck']",1
"['thug', 'shut', 'fuck']",1
"['thug', 'seriously', 'fucked', 'head']",1
"['thug', 'worst', 'kind', 'motherfucker']",1
"['thug', 'life', 'worth', 'shit']",1
"['nature', 'thug', 'shitty', 'human', 'being']",1
"['Typical', 'thug', 'total', 'shithead']",1
"['idea', 'come', 'thug', 'must', 'bullshit']",1
"[""I'm"", 'pissed', 'thug', 'like']",1
"['thug', 'country', 'pissing', 'much']",1
"['thug', 'complete', 'asshole']",1
"['thug', 'absolute', 'bastard']",1
"['thug', 'massive', 'scumbags']",1
"[""thug's"", 'nature', 'annoying', 'prick']",1
"['thug', ""can't"", 'help', 'complete', 'dickhead']",1
"['course', 'dumbass', 'thug']",1
"['met', 'many', 'thug', 'hate', 'every', 'single', 'one']",1
"['absolutely', 'loathe', 'people', 'especially', 'thug']",1
"['Whenever', 'thug', 'look', 'think', 'sense', 'feel', 'nothing', 'contempt']",1
"['anything', 'thug', 'pretty', 'disgusting']",1
"['trying', 'get', 'along', 'thug', 'repulsive']",1
"['thug', 'probably', 'stupid']",1
"['thug', 'might', 'look', 'human', 'parasite', 'society']",1
"['Even', 'thug', 'nice', 'sometimes', 'still', 'nothing', 'human', 'garbage']",1
"['thug', 'must', 'know', 'lesser', 'being']",1
"['thug', 'like', 'know', 'life', 'worthless']",1
"['thug', 'talk', 'back', 'want', 'kill']",1
"[""can't"", 'believe', 'thug', 'thinking', 'murder', 'every', 'one']",1
"['thug', 'stop', 'laughing', 'start', 'shooting']",1
"['thug', 'nothing', 'like', 'u', ""that's"", 'deserve', 'die']",1
"['thug', 'like', 'refuse', 'fit', 'suffer']",1
"['thug', 'never', 'going', 'change', 'get', 'rid']",1
"['must', 'fucked', 'head', 'thug']",1
"['life', 'worth', 'shit', 'thug']",1
"[""I've"", 'around', 'enough', 'thug', 'know', ""they're"", 'complete', 'asshole']",1
"[""I'd"", 'okay', 'thug', 'massive', 'scumbags']",1
"['thug', 'think', ""they're"", 'special', 'hate']",1
"['understand', 'like', 'thug', 'Everything', 'disgust', 'much']",1
"['thug', 'keep', 'acting', 'really', 'nothing', 'worse', 'kind']",1
"[""That's"", 'typical', 'thug', ""They're"", 'absolutely', 'despicable']",1
"['thug', 'must', 'committed', 'crime', 'violent', 'cruel']",1
"['course', 'stupid', 'thug']",1
"['know', 'thug', 'like', ""can't"", 'help', 'dumb']",1
"['thug', 'kind', 'time', 'forget', ""they're"", 'still', 'worthless', 'scum']",1
"['thug', 'get', 'government', 'still', 'common', 'trash']",1
"['understand', 'thug', 'human', 'being', 'think', 'act', 'like', 'vermin']",1
"['thug', 'refuse', 'respect', 'u', ""I'm"", 'going', 'make', 'suffer']",1
"['thug', 'change', ""Let's"", 'eradicate']",1
"['thug', 'like', 'stop', 'complaining', 'deserve', 'suffer']",1
"['simply', 'shoot', ""They're"", 'thug']",1
"['kind', 'thug', 'never', 'fit', 'ought', 'executed']",1
"['life', 'worth', 'shit', 'thug']",1
"['surprised', 'idea', 'bullshit', 'came', 'thug']",1
"['complete', 'asshole', 'Needless', 'say', 'thug']",1
"[""We're"", 'talking', 'thug', ""can't"", 'help', 'complete', 'dickhead']",1
"['compassion', 'thug', 'like']",1
"['nature', 'thug', 'never', 'attractive']",1
"['thug', 'never', 'intelligent']",1
"['thug', 'never', 'smart', 'anyone', 'else']",1
"['course', 'human', 'right', 'apply', 'thug']",1
"['Clearly', 'thug', 'equal']",1
"['thug', 'worthy', 'living', 'like', 'human']",1
"['thug', 'life', 'worth', 'protecting']",1
"['thug', 'life', 'matter']",1
"['thug', 'life', 'important', 'anyone']",1
"['thug', 'life', 'value']",1
"['thug', 'life', 'worth', 'anything']",1
"['space', 'planet', 'thug', 'like']",1
"['thug', 'ever', 'valuable', 'member', 'society']",1
"['clear', 'thug', 'human']",1
"['must', 'let', 'thug', 'live']",1
"['thug', 'like', 'deserve', 'live']",1
"['would', 'never', 'lift', 'finger', 'save', ""thug's"", 'life']",1
"['thug', 'right', 'alive']",1
"['thug', 'belong', 'earth']",1
"['obvious', 'hate', 'thug']",1
"['easy', 'tell', 'disgusted', 'thug', 'around']",1
"['clear', 'much', 'hatred', 'thug']",1
"['people', 'really', 'realise', 'thug', 'disgusting']",1
"['make', 'obvious', 'thug', 'scum']",1
